source_file_path,relative_path,file_size_bytes,planned_output_path,processing_status,char_count_before_cleaning,char_count_after_cleaning,cleaned_html_char_count,extraction_method_used,title,warnings,errors
raw_corpus\2_adsk-021da3411564426092afec7dc08de1cc.html,2_adsk-021da3411564426092afec7dc08de1cc.html,69859,cleaned_corpus\2_adsk-021da3411564426092afec7dc08de1cc.md,success,69395,9,558,trafilatura_short,Sign in,very_short_trafilatura_output; very_short_cleaned_content,
raw_corpus\2_adsk-1351a7d668c4466285b9b2aef8db829c.html,2_adsk-1351a7d668c4466285b9b2aef8db829c.html,35364,cleaned_corpus\2_adsk-1351a7d668c4466285b9b2aef8db829c.md,success,35300,49,204,trafilatura_short,System requirements for Autodesk PowerMill 2024,very_short_trafilatura_output; very_short_cleaned_content,
raw_corpus\2_adsk-37751b019eb247feb0c12c263f60d671.html,2_adsk-37751b019eb247feb0c12c263f60d671.html,61502,cleaned_corpus\2_adsk-37751b019eb247feb0c12c263f60d671.md,success,61227,24,325,trafilatura_short,Untitled Autodesk Page,very_short_trafilatura_output; very_short_cleaned_content,
raw_corpus\2_adsk-3bfca0fb165445b78e50508976565bf5.html,2_adsk-3bfca0fb165445b78e50508976565bf5.html,913,cleaned_corpus\2_adsk-3bfca0fb165445b78e50508976565bf5.md,success,913,24,0,trafilatura_short,Untitled Autodesk Page,very_short_trafilatura_output; very_short_cleaned_content,
raw_corpus\2_adsk-880672b0d04b4b02be7e80a3da9ecc84.html,2_adsk-880672b0d04b4b02be7e80a3da9ecc84.html,69859,cleaned_corpus\2_adsk-880672b0d04b4b02be7e80a3da9ecc84.md,success,69395,9,558,trafilatura_short,Sign in,very_short_trafilatura_output; very_short_cleaned_content,
raw_corpus\2_adsk-895af1efc5554d9e9569a15e06ba7c0a.html,2_adsk-895af1efc5554d9e9569a15e06ba7c0a.html,69859,cleaned_corpus\2_adsk-895af1efc5554d9e9569a15e06ba7c0a.md,success,69395,9,558,trafilatura_short,Sign in,very_short_trafilatura_output; very_short_cleaned_content,
raw_corpus\2_adsk-9cd3909bee7d402aad6a570c33b50fd7.html,2_adsk-9cd3909bee7d402aad6a570c33b50fd7.html,69859,cleaned_corpus\2_adsk-9cd3909bee7d402aad6a570c33b50fd7.md,success,69395,9,558,trafilatura_short,Sign in,very_short_trafilatura_output; very_short_cleaned_content,
raw_corpus\2_adsk-9d589623a1544acb89773d22661e4160.html,2_adsk-9d589623a1544acb89773d22661e4160.html,61502,cleaned_corpus\2_adsk-9d589623a1544acb89773d22661e4160.md,success,61227,24,325,trafilatura_short,Untitled Autodesk Page,very_short_trafilatura_output; very_short_cleaned_content,
raw_corpus\2_adsk-dfc47459dc114c9da117e85a8405fb81.html,2_adsk-dfc47459dc114c9da117e85a8405fb81.html,61429,cleaned_corpus\2_adsk-dfc47459dc114c9da117e85a8405fb81.md,success,61151,18,397,trafilatura_short,Request download,very_short_trafilatura_output; very_short_cleaned_content,
raw_corpus\2_adsk-f532b299ed6e43638a92bc3a3256f11b.html,2_adsk-f532b299ed6e43638a92bc3a3256f11b.html,59253,cleaned_corpus\2_adsk-f532b299ed6e43638a92bc3a3256f11b.md,success,59007,26,900,trafilatura_short,Autodesk,very_short_trafilatura_output; very_short_cleaned_content,
