relative_path,planned_output_path,cleaned_file_size_bytes,document_language,purge_reason
2_adsk-021da3411564426092afec7dc08de1cc.html,cleaned_corpus\2_adsk-021da3411564426092afec7dc08de1cc.md,513,,markdown_file_size_below_600_bytes
2_adsk-37751b019eb247feb0c12c263f60d671.html,cleaned_corpus\2_adsk-37751b019eb247feb0c12c263f60d671.md,570,,markdown_file_size_below_600_bytes
2_adsk-3bfca0fb165445b78e50508976565bf5.html,cleaned_corpus\2_adsk-3bfca0fb165445b78e50508976565bf5.md,568,,markdown_file_size_below_600_bytes
2_adsk-880672b0d04b4b02be7e80a3da9ecc84.html,cleaned_corpus\2_adsk-880672b0d04b4b02be7e80a3da9ecc84.md,513,,markdown_file_size_below_600_bytes
2_adsk-895af1efc5554d9e9569a15e06ba7c0a.html,cleaned_corpus\2_adsk-895af1efc5554d9e9569a15e06ba7c0a.md,513,,markdown_file_size_below_600_bytes
2_adsk-9cd3909bee7d402aad6a570c33b50fd7.html,cleaned_corpus\2_adsk-9cd3909bee7d402aad6a570c33b50fd7.md,513,,markdown_file_size_below_600_bytes
2_adsk-9d589623a1544acb89773d22661e4160.html,cleaned_corpus\2_adsk-9d589623a1544acb89773d22661e4160.md,570,,markdown_file_size_below_600_bytes
2_adsk-dfc47459dc114c9da117e85a8405fb81.html,cleaned_corpus\2_adsk-dfc47459dc114c9da117e85a8405fb81.md,555,,markdown_file_size_below_600_bytes
2_adsk-f532b299ed6e43638a92bc3a3256f11b.html,cleaned_corpus\2_adsk-f532b299ed6e43638a92bc3a3256f11b.md,564,,markdown_file_size_below_600_bytes
adsk-003c2905187a4da99ae975cb7233e9ec.html,cleaned_corpus\adsk-003c2905187a4da99ae975cb7233e9ec.md,517,,markdown_file_size_below_600_bytes
adsk-0099330f7df44669b9f3c5bbe467ca7c.html,cleaned_corpus\adsk-0099330f7df44669b9f3c5bbe467ca7c.md,517,,markdown_file_size_below_600_bytes
