source_file,relative_source_path,file_size_bytes,document_title,num_chunks_generated,total_characters,status,chunking_method,warning_or_error
cleaned_corpus\2_adsk-021da3411564426092afec7dc08de1cc.md,2_adsk-021da3411564426092afec7dc08de1cc.md,297,Sign in,7,286,indexed,docling_hierarchical_chunker,
cleaned_corpus\2_adsk-1351a7d668c4466285b9b2aef8db829c.md,2_adsk-1351a7d668c4466285b9b2aef8db829c.md,378,System requirements for Autodesk PowerMill 2024,7,367,indexed,docling_hierarchical_chunker,
cleaned_corpus\2_adsk-37751b019eb247feb0c12c263f60d671.md,2_adsk-37751b019eb247feb0c12c263f60d671.md,328,Untitled Autodesk Page,7,317,indexed,docling_hierarchical_chunker,
cleaned_corpus\2_adsk-3bfca0fb165445b78e50508976565bf5.md,2_adsk-3bfca0fb165445b78e50508976565bf5.md,326,Untitled Autodesk Page,7,315,indexed,docling_hierarchical_chunker,
cleaned_corpus\2_adsk-880672b0d04b4b02be7e80a3da9ecc84.md,2_adsk-880672b0d04b4b02be7e80a3da9ecc84.md,297,Sign in,7,286,indexed,docling_hierarchical_chunker,
cleaned_corpus\2_adsk-895af1efc5554d9e9569a15e06ba7c0a.md,2_adsk-895af1efc5554d9e9569a15e06ba7c0a.md,297,Sign in,7,286,indexed,docling_hierarchical_chunker,
cleaned_corpus\2_adsk-9cd3909bee7d402aad6a570c33b50fd7.md,2_adsk-9cd3909bee7d402aad6a570c33b50fd7.md,297,Sign in,7,286,indexed,docling_hierarchical_chunker,
cleaned_corpus\2_adsk-9d589623a1544acb89773d22661e4160.md,2_adsk-9d589623a1544acb89773d22661e4160.md,328,Untitled Autodesk Page,7,317,indexed,docling_hierarchical_chunker,
cleaned_corpus\2_adsk-dfc47459dc114c9da117e85a8405fb81.md,2_adsk-dfc47459dc114c9da117e85a8405fb81.md,316,Request download,7,305,indexed,docling_hierarchical_chunker,
cleaned_corpus\2_adsk-f532b299ed6e43638a92bc3a3256f11b.md,2_adsk-f532b299ed6e43638a92bc3a3256f11b.md,318,Autodesk,8,305,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-00006250a8c74f158957c6a91fc6426e.md,adsk-00006250a8c74f158957c6a91fc6426e.md,2001,Sweco streamlines its data- and workflows for project and business success,10,1958,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-0038f24320894e3981877d68e2f68c0b.md,adsk-0038f24320894e3981877d68e2f68c0b.md,3369,Construction Correspondence Software | Autodesk Construction Cloud | Autodesk Construction Cloud,21,3326,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-003c2905187a4da99ae975cb7233e9ec.md,adsk-003c2905187a4da99ae975cb7233e9ec.md,296,Overview,7,285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-005e71bd211e4f1a827ebe12cd3090a7.md,adsk-005e71bd211e4f1a827ebe12cd3090a7.md,19562,Simulation Explained: What is Simulation Software? | Autodesk,77,19349,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-006fa23c214f48b4bf3f1e84aa398130.md,adsk-006fa23c214f48b4bf3f1e84aa398130.md,2632,Benefits of the Architecture Toolset | AutoCAD | Autodesk,15,2588,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-0099330f7df44669b9f3c5bbe467ca7c.md,adsk-0099330f7df44669b9f3c5bbe467ca7c.md,296,Overview,7,285,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-00b3d6d8fcf74b8191d6b740767a5524.md,adsk-00b3d6d8fcf74b8191d6b740767a5524.md,404,System requirements for Autodesk Structural Bridge Design 2018,7,393,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-00db1695714b41289178835938894c61.md,adsk-00db1695714b41289178835938894c61.md,3957,Flame Software | Get Prices & Buy Official Flame 2024 | Autodesk,35,3880,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-01048d5974454f2383b583d189674c2b.md,adsk-01048d5974454f2383b583d189674c2b.md,4895,Autodesk 3ds Max Software | Get Prices & Buy Official 2024,36,4821,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-010a4154b0124bea970217167b3d5f18.md,adsk-010a4154b0124bea970217167b3d5f18.md,404,Autodesk ArtCAM Software End-of-Sale & End-of-Development FAQs,7,393,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-013ec2d8dcc44ca8bdd6e8e876458c7b.md,adsk-013ec2d8dcc44ca8bdd6e8e876458c7b.md,311,Media Resources,7,300,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-01725bc2c2934ff1b989a1c359d45be5.md,adsk-01725bc2c2934ff1b989a1c359d45be5.md,5443,3D CAD Software for Drawing & Modeling | Autodesk,34,5373,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-01b2fdfd9f04420e9368a81fabab9aba.md,adsk-01b2fdfd9f04420e9368a81fabab9aba.md,3921,Autodesk Fusion 360 with PowerShape | Get Prices and Buy PowerShape 2024,34,3843,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-01beae6bca58491d8775bf0e70ff7a3f.md,adsk-01beae6bca58491d8775bf0e70ff7a3f.md,4497,Autodesk Inventor Software | Get Prices & Buy Official Inventor 2024,32,4430,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-022c878241db4df0b03dc369ce8a085f.md,adsk-022c878241db4df0b03dc369ce8a085f.md,3359,"Annual Reports | Autodesk, Inc.",45,3270,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-02cc56e042fc4d6a94f29822520482f2.md,adsk-02cc56e042fc4d6a94f29822520482f2.md,5217,Autodesk AI | Artificial Intelligence,34,5104,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-02fd964e58414091b11188fccce81706.md,adsk-02fd964e58414091b11188fccce81706.md,2945,Educator Teaching & Learning Resources | Autodesk,32,2884,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-03185456ebb74f51b63c47d847df47dd.md,adsk-03185456ebb74f51b63c47d847df47dd.md,1206,ArtCAM | Autodesk,14,1178,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-036657b896d64873aeb89c0b32e33844.md,adsk-036657b896d64873aeb89c0b32e33844.md,439,Install Autodesk Products | Administrator Installation,8,424,indexed,docling_hierarchical_chunker,
cleaned_corpus\adsk-039ba8fb5b2c4bc792348d250b3a598f.md,adsk-039ba8fb5b2c4bc792348d250b3a598f.md,3836,Autodesk Alias Software | Get Prices & Buy Official Alias 2024,33,3770,indexed,docling_hierarchical_chunker,
